 68  90  .226  .000  .023  .000 -.001  .000 -.018   4.71   2.48  -61.97     .00    2.71     .00     .00     .00     .00     .00   .292E+16  .000E+00    15.46     .00
 68  92  .250  .000  .030  .000  .002  .000  .000    .00    .00  -63.23  -66.06    2.20    2.05     .00    9.56     .00    6.01   .152E+23  .000E+00    22.18     .00
 68 100  .291  .000 -.009  .000 -.033  .000  .018    .00    .00  -61.23  -63.00     .00     .55     .00    7.77     .00    8.00   .000E+00  .000E+00      .00     .00
 68 102  .298  .000 -.018  .000 -.042  .000  .019    .00    .00  -58.80  -60.12    -.38     .05     .00    7.26     .00    8.60   .100+101  .000E+00   100.00     .00
 68 133  .075  .098  .029  .028 -.002  .007  .001    .63  -2.16   70.91     .00     .00     .00     .00     .00   17.30     .00   .000E+00  .000E+00      .00     .00
 70  96  .274  .000 -.024  .000 -.013  .000  .000    .00    .00  -59.17  -61.59     .00    2.33     .00    9.49     .00    5.94   .000E+00  .000E+00      .00     .00
 70 102  .293  .000 -.042  .000 -.031  .000  .024    .00    .00  -58.14  -59.26     .66    1.31     .00    8.02     .00    7.33   .248E+83  .000E+00    82.39     .00
 70 104  .289  .000 -.055  .000 -.024  .000  .024    .00    .00  -55.87  -56.95     .50     .74     .00    7.46     .00    7.98   .100+101  .000E+00   100.00     .00
 70 131  .060  .056  .021  .020  .004  .006  .000    .08  -3.14   43.17     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
 71 134  .117  .005  .046  .002  .013  .001 -.001    .75  -1.02   55.56     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
 72 104  .274  .000 -.052  .000 -.016  .000  .000    .00    .00  -53.00  -54.58    2.72    2.26     .00    8.17     .00    6.70   .480E+19  .000E+00    18.68     .00
 72 108  .264  .000 -.084  .000  .000  .000  .000    .00    .00  -48.81  -49.79     .00    1.28     .00    7.39     .00    8.01   .000E+00  .000E+00      .00     .00
 72 112  .254  .000 -.110  .000  .020  .000  .000    .00    .00  -41.48  -41.50     .00     .00     .00    6.29     .00     .00   .000E+00  .000E+00      .00     .00
 73 134  .117  .048  .031  .027  .014  .005  .003    .48  -1.10   43.02     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
 73 136  .133  .053  .037  .022  .009  .003 -.008   1.24   -.46   54.44     .00   -3.55     .00     .00     .00     .00     .00   .100+101  .000E+00   100.00     .00
 74 116  .187  .000 -.094  .000  .028  .000  .000    .00    .00  -33.49  -34.30     .00     .00     .00    6.89     .00     .00   .000E+00  .000E+00      .00     .00
 75 134  .081  .004 -.005 -.001  .001  .000 -.001    .22  -1.62   32.22     .00     .00     .00     .00     .00     .00     .00   .000E+00  .000E+00      .00     .00
